Timestamp,GHI,DNI,DHI,ModA,ModB,Tamb,RH,WS,WSgust,WSstdev,WD,WDstdev,BP,Cleaning,Precipitation,TModA,TModB,Comments
2021-08-09 06:54:00,16.7,0.0,16.5,16.1,16.3,24.2,98.8,0.0,0.0,0.0,0.0,0.0,997,0,0.0,24.2,23.7,
2021-08-09 06:55:00,18.2,0.1,18.0,17.4,17.6,24.2,98.8,0.0,0.0,0.0,0.0,0.0,997,0,0.0,24.3,23.8,
2021-08-09 06:56:00,19.7,0.3,19.5,18.7,18.9,24.2,98.8,0.0,0.0,0.0,0.0,0.0,997,0,0.0,24.3,23.9,
2021-08-09 06:57:00,21.1,0.6,20.9,19.9,20.1,24.2,98.9,0.0,0.0,0.0,0.0,0.0,997,0,0.0,24.4,23.9,
2021-08-09 06:58:00,22.5,1.1,22.2,21.1,21.3,24.2,98.9,0.0,0.0,0.0,0.0,0.0,997,0,0.0,24.5,24.0,
2021-08-09 06:59:00,23.9,1.9,23.5,22.2,22.4,24.2,98.9,0.0,0.0,0.0,0.0,0.0,997,0,0.0,24.5,24.0,
2021-08-09 07:00:00,25.2,2.8,24.6,23.3,23.5,24.2,98.9,0.0,0.0,0.0,0.0,0.0,997,0,0.0,24.6,24.1,
2021-08-09 07:01:00,26.5,3.8,25.8,24.3,24.5,24.2,98.8,0.0,0.0,0.0,0.0,0.0,997,0,0.0,24.7,24.1,
2021-08-09 07:02:00,27.8,5.0,27.0,25.4,25.6,24.2,98.8,0.0,0.0,0.0,0.0,0.0,997,0,0.0,24.7,24.2,
2021-08-09 07:03:00,29.4,6.6,28.3,26.6,26.8,24.2,98.7,0.0,0.0,0.0,0.0,0.0,997,0,0.0,24.8,24.3,
2021-08-09 07:04:00,30.9,8.7,29.6,27.8,28.0,24.2,98.7,0.0,0.0,0.0,0.0,0.0,997,0,0.0,24.9,24.3,
2021-08-09 07:05:00,32.6,11.7,30.9,29.1,29.3,24.3,98.7,0.0,0.0,0.0,0.0,0.0,997,0,0.0,24.9,24.4,
2021-08-09 07:06:00,34.2,14.4,32.1,30.3,30.6,24.3,98.7,0.0,0.0,0.0,0.0,0.0,997,0,0.0,25.0,24.4,
2021-08-09 07:07:00,35.1,12.7,33.2,31.1,31.5,24.3,98.6,0.0,0.0,0.0,0.0,0.0,997,0,0.0,25.1,24.5,
2021-08-09 07:08:00,36.2,11.4,34.4,32.1,32.5,24.3,98.6,0.0,0.0,0.0,0.0,0.0,998,0,0.0,25.1,24.6,
2021-08-09 07:09:00,37.8,12.7,35.7,33.5,33.8,24.3,98.8,0.0,0.0,0.0,0.0,0.0,998,0,0.0,25.2,24.6,
2021-08-09 07:10:00,39.4,14.9,37.0,34.9,35.3,24.3,98.7,0.0,0.0,0.0,0.0,0.0,998,0,0.0,25.3,24.7,
2021-08-09 07:11:00,40.6,15.0,38.1,36.0,36.4,24.3,98.6,0.0,0.0,0.0,0.0,0.0,998,0,0.0,25.4,24.7,
2021-08-09 07:12:00,40.8,9.0,39.2,36.5,36.8,24.3,98.6,0.0,0.0,0.0,0.0,0.0,997,0,0.0,25.4,24.8,
2021-08-09 07:13:00,40.9,3.5,40.0,36.8,37.1,24.3,98.7,0.0,0.0,0.0,0.0,0.0,997,0,0.0,25.4,24.8,
2021-08-09 07:14:00,41.2,1.9,40.5,37.1,37.5,24.3,98.7,0.0,0.0,0.0,0.0,0.0,997,0,0.0,25.5,24.9,
2021-08-09 07:15:00,41.4,1.5,40.7,37.2,37.6,24.3,98.6,0.0,0.0,0.0,0.0,0.0,997,0,0.0,25.5,24.9,
2021-08-09 07:16:00,41.5,2.6,40.7,37.2,37.6,24.3,98.6,0.0,0.0,0.0,0.0,0.0,997,0,0.0,25.6,24.9,
2021-08-09 07:17:00,42.3,8.5,40.4,37.5,37.8,24.3,98.6,0.0,0.0,0.0,0.0,0.0,997,0,0.0,25.6,25.0,
